x,y,value
7,15,17
8,15,25
9,15,22
10,15,27
11,15,36
12,15,42
13,15,45
14,15,92
15,15,69
16,15,77
17,15,98
18,15,132
19,15,145
20,15,146
21,15,150
22,15,154
23,15,169
24,15,119
25,15,137
26,15,108
27,15,105
28,15,67
29,15,53
30,15,51
31,15,35
32,15,25
33,15,23
34,15,13
0,16,12
1,16,10
2,16,14
3,16,16
4,16,9
5,16,11
6,16,18
7,16,19
8,16,21
9,16,26
10,16,32
11,16,37
12,16,43
13,16,73
14,16,77
15,16,96
16,16,81
17,16,111
18,16,116
19,16,137
20,16,135
21,16,160
22,16,144
23,16,181
24,16,151
25,16,130
26,16,130
27,16,110
28,16,83
29,16,69
30,16,50
31,16,42
32,16,24
33,16,18
34,16,29
0,17,14
1,17,6
2,17,8
3,17,9
4,17,8
5,17,13
6,17,17
7,17,23
8,17,26
9,17,34
10,17,41
11,17,40
12,17,53
13,17,57
14,17,79
15,17,92
16,17,95
17,17,97
18,17,134
19,17,141
20,17,146
21,17,166
22,17,144
23,17,147
24,17,138
25,17,131
26,17,102
27,17,105
28,17,85
29,17,61
30,17,59
31,17,31
32,17,30
33,17,28
34,17,21
0,18,16
1,18,5
2,18,5
3,18,12
4,18,10
5,18,16
6,18,12
7,18,22
8,18,20
9,18,48
10,18,32
11,18,39
12,18,45
13,18,54
14,18,79
15,18,85
16,18,110
17,18,120
18,18,134
19,18,158
20,18,150
21,18,130
22,18,135
23,18,154
24,18,124
25,18,124
26,18,93
27,18,85
28,18,76
29,18,45
30,18,49
31,18,34
32,18,28
33,18,52
34,18,16
0,19,14
1,19,14
2,19,16
3,19,8
4,19,7
5,19,18
6,19,15
7,19,14
8,19,18
9,19,25
10,19,42
11,19,39
12,19,51
13,19,60
14,19,90
15,19,103
16,19,101
17,19,109
18,19,140
19,19,141
20,19,137
21,19,168
22,19,135
23,19,128
24,19,112
25,19,107
26,19,97
27,19,91
28,19,64
29,19,50
30,19,45
31,19,25
32,19,24
33,19,27
34,19,20
0,20,9
1,20,10
2,20,14
3,20,13
4,20,12
5,20,11
6,20,14
7,20,20
8,20,23
9,20,33
10,20,28
11,20,43
12,20,46
13,20,58
14,20,81
15,20,88
16,20,79
17,20,107
18,20,105
19,20,113
20,20,119
21,20,121
22,20,134
23,20,130
24,20,118
25,20,91
26,20,69
27,20,75
28,20,53
29,20,43
30,20,39
31,20,29
32,20,30
33,20,9
34,20,16
0,21,7
1,21,15
2,21,14
3,21,13
4,21,10
5,21,8
6,21,10
7,21,13
8,21,16
9,21,33
10,21,31
11,21,42
12,21,36
13,21,62
14,21,72
15,21,84
16,21,93
17,21,105
18,21,87
19,21,115
20,21,93
21,21,106
22,21,110
23,21,86
24,21,91
25,21,88
26,21,71
27,21,63
28,21,53
29,21,45
30,21,32
31,21,32
32,21,27
33,21,14
34,21,14
0,22,8
1,22,7
2,22,7
3,22,8
4,22,10
5,22,10
6,22,17
7,22,26
8,22,20
9,22,33
10,22,30
11,22,35
12,22,43
13,22,34
14,22,63
15,22,77
16,22,77
17,22,74
18,22,79
19,22,92
20,22,72
21,22,98
22,22,79
23,22,76
24,22,78
25,22,75
26,22,43
27,22,53
28,22,35
29,22,40
30,22,34
31,22,26
32,22,21
33,22,15
34,22,6
0,23,8
1,23,9
2,23,10
3,23,12
4,23,11
5,23,10
6,23,24
7,23,15
8,23,26
9,23,20
10,23,29
11,23,20
12,23,38
13,23,44
14,23,70
15,23,54
16,23,61
17,23,91
18,23,73
19,23,81
