x,y,value
32,10,6
33,10,8
34,10,5
35,10,3
36,10,6
37,10,3
38,10,4
39,10,2
40,10,2
41,10,0
42,10,0
43,10,0
44,10,0
45,10,0
46,10,0
47,10,1
48,10,0
49,10,0
0,11,0
1,11,0
2,11,1
3,11,1
4,11,0
5,11,0
6,11,1
7,11,0
8,11,0
9,11,0
10,11,3
11,11,3
12,11,1
13,11,0
14,11,1
15,11,3
16,11,13
17,11,4
18,11,7
19,11,6
20,11,7
21,11,5
22,11,5
23,11,11
24,11,6
25,11,8
26,11,8
27,11,11
28,11,9
29,11,8
30,11,9
31,11,8
32,11,5
33,11,6
34,11,8
35,11,7
36,11,8
37,11,5
38,11,2
39,11,0
40,11,3
41,11,2
42,11,1
43,11,0
44,11,0
45,11,0
46,11,0
47,11,0
48,11,0
49,11,0
0,12,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,1
6,12,1
7,12,1
8,12,0
9,12,1
10,12,3
11,12,5
12,12,6
13,12,3
14,12,2
15,12,4
16,12,7
17,12,4
18,12,8
19,12,6
20,12,7
21,12,10
22,12,12
23,12,7
24,12,16
25,12,11
26,12,10
27,12,13
28,12,10
29,12,15
30,12,8
31,12,8
32,12,6
33,12,4
34,12,4
35,12,8
36,12,4
37,12,6
38,12,5
39,12,3
40,12,3
41,12,2
42,12,0
43,12,3
44,12,1
45,12,0
46,12,1
47,12,0
48,12,1
49,12,0
0,13,0
1,13,0
2,13,1
3,13,1
4,13,2
5,13,2
6,13,1
7,13,0
8,13,1
9,13,1
10,13,3
11,13,1
12,13,6
13,13,4
14,13,7
15,13,3
16,13,3
17,13,12
18,13,14
19,13,9
20,13,8
21,13,9
22,13,9
23,13,8
24,13,6
25,13,12
26,13,18
27,13,13
28,13,13
29,13,16
30,13,13
31,13,15
32,13,7
33,13,10
34,13,12
35,13,7
36,13,6
37,13,5
38,13,2
39,13,7
40,13,2
41,13,2
42,13,4
43,13,2
44,13,1
45,13,3
46,13,0
47,13,0
48,13,1
49,13,1
0,14,0
1,14,0
2,14,1
3,14,0
4,14,0
5,14,2
6,14,0
7,14,2
8,14,0
9,14,3
10,14,10
11,14,3
12,14,2
13,14,6
14,14,6
15,14,6
16,14,10
17,14,8
18,14,4
19,14,15
20,14,19
21,14,10
22,14,11
23,14,8
24,14,12
25,14,16
26,14,17
27,14,10
28,14,12
29,14,16
30,14,15
31,14,7
32,14,6
33,14,10
34,14,6
35,14,6
36,14,5
37,14,9
38,14,2
39,14,3
40,14,1
41,14,6
42,14,1
43,14,3
44,14,4
45,14,0
46,14,4
47,14,0
48,14,0
49,14,0
0,15,1
1,15,0
2,15,1
3,15,1
4,15,1
5,15,2
6,15,0
7,15,4
8,15,0
9,15,2
10,15,3
11,15,2
12,15,4
13,15,5
14,15,6
15,15,9
16,15,9
17,15,7
18,15,9
19,15,15
20,15,16
21,15,14
22,15,25
23,15,13
24,15,13
25,15,11
26,15,16
27,15,21
28,15,17
29,15,15
30,15,23
31,15,11
32,15,8
33,15,14
34,15,8
35,15,12
36,15,11
37,15,9
38,15,2
39,15,1
40,15,5
41,15,3
42,15,1
43,15,3
44,15,1
45,15,2
46,15,0
47,15,0
48,15,0
49,15,0
0,16,0
1,16,1
2,16,0
3,16,0
4,16,2
5,16,1
6,16,1
7,16,1
8,16,2
9,16,2
10,16,2
11,16,8
12,16,7
13,16,7
14,16,7
15,16,8
16,16,4
17,16,6
18,16,11
19,16,22
20,16,18
21,16,16
22,16,14
23,16,17
24,16,17
25,16,20
26,16,14
27,16,21
28,16,13
29,16,17
30,16,20
31,16,16
32,16,13
33,16,14
34,16,18
35,16,9
36,16,6
37,16,8
38,16,6
39,16,1
40,16,4
41,16,4
42,16,1
43,16,2
44,16,3
45,16,0
46,16,0
47,16,1
48,16,0
49,16,0
0,17,0
1,17,0
2,17,0
3,17,2
4,17,0
5,17,1
6,17,1
7,17,1
8,17,5
9,17,3
10,17,9
11,17,4
12,17,6
13,17,8
14,17,8
15,17,9
16,17,6
17,17,8
18,17,8
19,17,10
20,17,24
21,17,15
22,17,23
23,17,11
24,17,12
25,17,20
26,17,16
27,17,15
28,17,23
29,17,7
30,17,15
31,17,12
32,17,16
33,17,11
34,17,12
35,17,13
36,17,3
37,17,16
38,17,8
39,17,2
40,17,2
41,17,5
42,17,0
43,17,2
44,17,0
45,17,1
46,17,1
47,17,0
48,17,0
49,17,0
0,18,0
1,18,1
2,18,0
3,18,0
4,18,0
5,18,2
6,18,1
7,18,3
8,18,2
9,18,1
10,18,5
11,18,3
12,18,5
13,18,5
14,18,9
15,18,8
16,18,10
17,18,16
18,18,14
19,18,10
20,18,16
21,18,22
22,18,16
23,18,24
24,18,19
25,18,13
26,18,27
27,18,20
28,18,21
29,18,16
30,18,12
31,18,17
32,18,16
33,18,9
34,18,9
35,18,3
36,18,13
37,18,7
38,18,6
39,18,7
40,18,3
41,18,2
42,18,4
43,18,0
44,18,2
45,18,0
46,18,0
47,18,0
48,18,0
