0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,3,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,2,2,2,1,0,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,2,1,2,2,3,4,0,1,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0
3,0,0,0,0,0,1,0,1,1,0,2,1,2,2,0,2,6,0,3,3,5,2,1,1,1,4,2,2,3,1,0,0,2,0,0,0,0
0,0,0,0,0,1,1,0,1,4,1,2,2,3,0,1,4,3,5,3,4,2,0,5,1,1,2,1,0,0,2,0,0,0,0,0,0,2
0,0,1,0,1,1,1,1,1,2,3,3,2,3,2,1,7,1,0,1,9,5,5,3,4,1,2,6,3,6,1,2,0,2,2,4,0,0
0,0,1,0,2,1,0,1,2,3,5,2,4,5,2,4,7,6,5,4,3,7,9,5,4,10,1,3,3,2,0,2,0,0,1,0,0,0
0,0,1,0,0,0,0,3,7,3,3,8,5,4,11,12,6,9,9,4,8,8,5,7,3,8,6,5,4,7,5,1,2,0,2,1,0,0
0,2,0,2,0,4,1,1,5,5,3,12,5,5,8,10,11,16,11,12,9,17,9,9,13,9,9,10,8,5,8,4,1,2,1,0,0,1
1,0,1,0,1,4,2,2,7,1,9,4,11,5,9,7,11,21,13,11,17,14,10,16,10,9,6,4,7,10,0,0,2,1,2,1,2,0
1,1,3,2,2,3,5,5,4,5,12,10,15,11,12,13,15,16,22,16,19,17,18,17,22,15,10,5,8,6,7,4,2,1,2,0,0,2
0,0,1,0,3,4,1,2,6,8,6,14,25,22,24,20,18,18,17,30,23,32,18,23,28,19,17,14,8,13,6,2,3,1,3,1,3,1
1,1,3,3,3,2,7,8,6,8,11,11,16,16,22,22,21,29,34,24,31,26,29,19,23,18,16,17,14,12,4,1,5,5,1,1,0,0
2,2,1,3,1,6,6,3,14,9,15,21,27,32,34,29,34,36,40,35,40,41,32,22,26,16,15,17,18,6,13,7,7,1,1,1,0,3
2,1,2,2,0,6,6,5,5,14,14,22,24,24,32,26,43,36,28,31,45,42,50,30,36,22,33,22,16,13,7,6,7,1,2,0,1,2
1,1,3,2,3,5,12,12,9,15,22,24,24,25,36,39,36,44,45,49,38,37,42,37,31,27,15,21,20,13,9,8,0,3,4,4,1,3
0,1,1,3,2,1,6,13,12,9,12,25,31,30,32,38,57,52,47,33,50,42,34,32,31,26,30,23,21,17,13,8,8,4,4,2,0,0
0,3,0,6,3,7,5,9,11,22,27,27,32,31,34,38,51,43,53,47,30,44,45,48,40,23,31,19,20,20,12,3,3,7,3,1,2,0
1,0,0,2,2,9,4,15,5,12,23,16,24,27,34,34,44,42,50,54,51,35,47,32,43,32,24,17,18,13,18,13,7,4,0,1,1,1
1,1,1,5,2,6,5,7,16,12,20,18,31,29,43,31,35,47,42,43,57,46,33,44,36,31,25,20,24,12,12,13,2,5,0,0,0,2
2,1,1,5,2,4,2,7,12,17,22,17,19,34,24,40,45,46,39,46,46,32,37,29,25,28,21,26,19,8,11,8,7,6,1,3,0,2
1,0,1,4,2,3,3,6,14,20,17,17,28,37,23,33,21,38,43,35,46,33,35,27,26,21,26,17,9,11,8,6,4,3,0,3,0,0
1,1,0,0,2,2,6,12,12,13,9,11,26,19,25,30,33,28,34,29,27,30,35,23,20,15,16,14,11,10,10,11,1,2,1,1,3,2
0,2,0,2,1,2,3,7,6,13,9,6,11,16,19,29,24,30,24,24,26,24,20,20,15,16,15,6,5,4,12,7,3,1,0,1,0,1
0,1,1,1,1,1,2,3,8,6,8,13,7,12,13,20,21,15,25,16,22,16,20,10,15,11,11,11,9,5,2,3,1,1,1,1,1,1
1,1,0,0,1,2,2,2,2,4,10,10,11,20,11,10,14,16,16,20,17,12,13,16,8,8,10,10,4,2,0,3,0,1,1,1,0,0
0,0,0,2,0,1,1,5,2,8,4,7,17,6,6,12,13,14,9,9,11,8,12,10,14,2,5,5,6,3,3,2,2,1,0,0,0,1
0,0,0,0,1,1,1,2,3,2,5,1,0,10,6,9,11,3,14,2,7,9,14,9,1,4,4,2,1,1,2,1,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,3,1,1,6,4,7,12,4,2,7,5,7,1,5,3,4,4,3,1,2,2,3,1,1,0,1,0,0,1
0,1,0,1,0,1,0,1,2,1,1,2,4,5,3,3,2,2,3,2,5,2,2,0,8,1,1,0,3,1,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,1,1,0,0,2,2,0,2,6,2,2,0,4,5,2,5,3,1,3,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,4,2,0,0,1,1,1,1,1,0,1,1,2,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,1,3,0,3,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
